Date,Site,Sub site,Compound Site,Sample Type,Year,Month,Day,Site Type,SRP ,NH4 ,TDN ,TDP ,Seston P,TP
6/26/12,PT,L,PT-L,s,2012,6,26,u,0.882,5.94,49.629,0.887848238,5.96E-07,2.36597551
7/10/12,PT,L,PT-L,s,2012,7,10,u,0.395,6.33,58.572,0.636022192,8.49E-07,1.879552192
7/26/12,PT,L,PT-L,s,2012,7,26,u,0.349,6.42,79.211,0.700592973,2.25E-06,3.297792973
8/14/12,PT,L,PT-L,s,2012,8,14,u,0.541,9.16,111.414,1.016989799,7.95E-07,2.352736466
9/5/12,PT,L,PT-L,s,2012,9,5,u,0.341,7.35,51.609,0.774849371,6.24E-07,1.740141038
4/25/13,PT,L,PT-L,s,2013,4,25,u,0.5089,0.856,46.015,0.887848238,7.64E-07,2.160381331
5/8/13,PT,L,PT-L,s,2013,5,8,u,0.3275,1.14,39.17,1.197787986,2.47E-06,3.995615855
5/21/13,PT,L,PT-L,s,2013,5,21,u,1.4585,0.822,53.331,1.391500329,9.95E-07,3.845066995
6/5/13,PT,L,PT-L,s,2013,6,5,u,3.2562,2.397,47.357,3.867789777,1.07E-06,8.191589777
5/31/12,PT,UP,PT-UP,s,2012,5,31,u,,5.123,56.269,1.230073376,,
3/30/12,PV,DWN,PV-DWN,s,2012,3,30,m,1.195,0.376,18.871,,,
4/6/12,PV,DWN,PV-DWN,s,2012,4,6,m,0.7709,3.909,16.586,0.84587723,,
4/16/12,PV,DWN,PV-DWN,s,2012,4,16,m,1.4802,4.065,18.696,0.758706676,,
4/26/12,PV,DWN,PV-DWN,s,2012,4,26,m,0.8669,7.276,20.694,0.484280857,,
5/9/12,PV,DWN,PV-DWN,s,2012,5,9,m,2.12,5.375,22.778,0.50688063,,
3/22/12,PV,LAT,PV-LAT,s,2012,3,22,m,0,,20.608,,,
3/30/12,PV,LAT,PV-LAT,s,2012,3,30,m,0.7139823,0.376,19.709,,,
4/6/12,PV,LAT,PV-LAT,s,2012,4,6,m,0.5269345,4.293,15.203,0.27119728,,
4/16/12,PV,LAT,PV-LAT,s,2012,4,16,m,1.002865,3.967,18.063,0.632793653,,
4/26/12,PV,LAT,PV-LAT,s,2012,4,26,m,0.6134992,7.29,19.235,0.332539522,,
5/9/12,PV,LAT,PV-LAT,s,2012,5,9,m,1.2353954,5.361,20.92,1.071874963,,
3/22/12,PV,UP,PV-UP,s,2012,3,22,m,0.232278,,19.615,,,
3/30/12,PV,UP,PV-UP,s,2012,3,30,m,1.1796297,0.376,18.579,,,
4/6/12,PV,UP,PV-UP,s,2012,4,6,m,0.6555524,3.975,18.542,0.61019388,,
4/16/12,PV,UP,PV-UP,s,2012,4,16,m,1.25664425,4.275,20.876,0.865248464,,
4/26/12,PV,UP,PV-UP,s,2012,4,26,m,0.64371835,7.297,20.301,0.461681084,,
5/9/12,PV,UP,PV-UP,s,2012,5,9,m,0.7997462,5.335,20.231,0.335768061,,
3/22/12,PV,UP2,PV-UP2,s,2012,3,22,m,0.4023215,,17.905,,,
3/30/12,SB,DWN,SB-DWN,s,2012,3,30,u,0.2571,0.529,24.582,,,
4/6/12,SB,DWN,SB-DWN,s,2012,4,6,u,0.201,4.164,19.243,0.290568514,,
4/16/12,SB,DWN,SB-DWN,s,2012,4,16,u,0.2602,3.979,21.689,0.27119728,,
4/26/12,SB,DWN,SB-DWN,s,2012,4,26,u,0.2021,7.454,25.161,0.206626499,,
