Date,Hour,Site,WL,AWL
6/23/2012,12:00,BF,74.6684,74.66597864
6/23/2012,14:00,BF,74.6699,74.66732478
6/23/2012,16:00,BF,74.6708,74.66813246
6/23/2012,18:00,BF,74.671,74.66831194
6/23/2012,20:00,BF,74.6767,74.67342726
6/23/2012,22:00,BF,74.6841,74.6800682
6/24/2012,0:00,BF,74.688,74.68356816
6/24/2012,2:00,BF,74.6865,74.68222202
6/24/2012,4:00,BF,74.6847,74.68060666
6/24/2012,6:00,BF,74.685,74.68087589
6/24/2012,8:00,BF,74.6841,74.6800682
6/24/2012,10:00,BF,74.6765,74.67324778
6/24/2012,12:00,BF,74.6691,74.66660684
6/24/2012,14:00,BF,74.6579,74.65655569
6/24/2012,16:00,BF,74.6523,74.65153011
6/24/2012,18:00,BF,74.6486,74.64820964
6/24/2012,20:00,BF,74.6374,74.63815849
6/24/2012,22:00,BF,74.6275,74.62927398
6/25/2012,0:00,BF,74.6143,74.61742798
6/25/2012,2:00,BF,74.6075,74.6113255
6/25/2012,4:00,BF,74.6024,74.60674863
6/25/2012,6:00,BF,74.6075,74.6113255
6/25/2012,8:00,BF,74.5747,74.58188998
6/25/2012,10:00,BF,74.7041,74.69801669
6/25/2012,12:00,BF,74.7294,74.72072153
6/25/2012,14:00,BF,74.717,74.70959347
6/25/2012,16:00,BF,74.7207,74.71291394
6/25/2012,18:00,BF,74.7173,74.70986269
6/25/2012,20:00,BF,74.7222,74.71426007
6/25/2012,22:00,BF,74.7336,74.72449071
6/26/2012,0:00,BF,74.7267,74.71829848
6/26/2012,2:00,BF,74.7176,74.71013192
6/26/2012,4:00,BF,74.7098,74.70313201
6/26/2012,6:00,BF,74.7661,74.753657
6/26/2012,8:00,BF,74.8236,74.80525891
6/26/2012,10:00,BF,74.833,74.8136947
6/26/2012,12:00,BF,74.8293,74.81037423
6/26/2012,14:00,BF,74.8296,74.81064345
6/15/2012,14:00,BF,74.9996,74.9632056
6/15/2012,16:00,BF,74.997,74.9608723
6/15/2012,18:00,BF,74.9779,74.94373149
6/15/2012,20:00,BF,74.9769,74.94283407
6/15/2012,22:00,BF,75.0006,74.96410302
6/16/2012,0:00,BF,74.9884,74.95315445
6/16/2012,2:00,BF,74.9905,74.95503904
6/16/2012,4:00,BF,74.9924,74.95674414
6/16/2012,6:00,BF,75.002,74.96535942
6/16/2012,8:00,BF,75.0071,74.96993628
6/16/2012,10:00,BF,75.0076,74.970385
6/16/2012,12:00,BF,75,74.96356457
6/16/2012,14:00,BF,74.9815,74.94696222
